,Race,EduYrsEstCap,HandednessScore,EduComp,Sex,Ethnicity,Height_W1,AgeMRI_W1,Weight_W1,BMI_W1,RIG
457,5.857980995127572,6.53605290024021,5.273018494406416,6.53605290024021,0.6930740684518844,4.2141248053528475,4.951090399519053,6.857980995127572,5.15754127698648,8.857980995127573,54.934897830579814
58,5.857980995127572,8.857980995127573,4.050626073069968,3.3661278987978975,0.6930740684518844,4.2141248053528475,4.951090399519053,5.273018494406416,7.857980995127572,8.857980995127573,53.97998572010836
25,5.857980995127572,4.33441903907056,2.9510903995190536,3.3661278987978975,0.6930740684518844,4.2141248053528475,3.8135868757691185,5.857980995127572,7.857980995127572,8.857980995127573,47.80434706747165
172,5.050626073069968,4.33441903907056,6.273018494406416,3.3661278987978975,0.6930740684518844,0.08649152562697364,7.857980995127572,6.53605290024021,4.53605290024021,8.857980995127573,47.59182489015926
179,6.53605290024021,4.465663572348812,6.050626073069968,1.5004289905094885,1.3903754450445747,0.08649152562697364,5.53605290024021,6.857980995127572,7.273018494406416,7.857980995127572,47.5546718917418
328,5.857980995127572,3.273018494406416,3.5360529002402097,1.5004289905094885,1.3903754450445747,0.08649152562697364,6.857980995127572,6.857980995127572,8.857980995127573,8.857980995127573,47.07627233146553
128,5.273018494406416,3.8579809951275723,7.273018494406416,3.8579809951275723,1.3903754450445747,4.2141248053528475,3.6100534816839867,6.050626073069968,4.610053481683987,6.53605290024021,46.67328516614354
48,5.857980995127572,3.8579809951275723,4.33441903907056,3.8579809951275723,1.3903754450445747,4.2141248053528475,4.103093492964104,5.68805599368526,4.465663572348812,8.857980995127573,46.62765632897644
32,5.857980995127572,8.857980995127573,2.9510903995190536,1.5004289905094885,0.6930740684518844,4.2141248053528475,3.728697978182606,6.050626073069968,5.398549376490275,7.273018494406416,46.52557217623768
51,5.273018494406416,2.6100534816839867,7.273018494406416,1.5004289905094885,0.6930740684518844,4.2141248053528475,3.8135868757691185,6.53605290024021,6.53605290024021,7.857980995127572,46.307392006188145
356,5.273018494406416,3.6880559936852597,4.050626073069968,1.5004289905094885,0.6930740684518844,4.2141248053528475,3.728697978182606,6.050626073069968,7.857980995127572,8.857980995127573,45.91461446698358
279,5.273018494406416,4.465663572348812,4.273018494406416,1.5004289905094885,0.6930740684518844,4.2141248053528475,3.728697978182606,4.857980995127572,7.857980995127572,8.857980995127573,45.72196938904118
379,5.273018494406416,7.273018494406416,4.33441903907056,3.3661278987978975,1.3903754450445747,0.08649152562697364,4.15754127698648,5.857980995127572,5.857980995127572,7.857980995127572,45.454935159722034
216,0.23227215206310664,6.53605290024021,2.9510903995190536,6.53605290024021,0.6930740684518844,0.08649152562697364,3.728697978182606,7.857980995127572,7.273018494406416,8.857980995127573,44.752712408985616
9,5.273018494406416,1.857980995127572,2.9510903995190536,1.9631632318196284,0.6930740684518844,4.2141248053528475,3.0766212816029124,6.857980995127572,8.857980995127573,8.857980995127573,44.60301626166303
341,5.273018494406416,7.273018494406416,4.103093492964104,1.5004289905094885,1.3903754450445747,4.2141248053528475,3.4656635723488116,4.610053481683987,4.857980995127572,7.857980995127572,44.54573876697179
395,5.050626073069968,3.273018494406416,6.273018494406416,1.5004289905094885,1.3903754450445747,0.08649152562697364,4.103093492964104,6.53605290024021,7.273018494406416,8.857980995127573,44.34410490580214
61,5.273018494406416,2.554200246950469,1.6780719051126378,3.3661278987978975,0.6930740684518844,4.2141248053528475,3.5725787762653236,6.050626073069968,7.857980995127572,8.857980995127573,44.117784258662596
85,0.23227215206310664,6.53605290024021,4.273018494406416,6.53605290024021,1.3903754450445747,0.08649152562697364,5.68805599368526,6.050626073069968,4.398549376490275,8.857980995127573,44.04947585599457
59,5.050626073069968,3.8579809951275723,4.103093492964104,3.8579809951275723,0.6930740684518844,0.08649152562697364,3.0766212816029124,6.53605290024021,7.857980995127572,8.857980995127573,43.97788332246634
352,0.23227215206310664,2.6100534816839867,6.050626073069968,1.5004289905094885,0.6930740684518844,4.2141248053528475,6.050626073069968,5.68805599368526,7.857980995127572,8.857980995127573,43.75522362814165
229,0.23227215206310664,2.6100534816839867,4.103093492964104,1.5004289905094885,1.3903754450445747,4.2141248053528475,8.857980995127573,4.610053481683987,7.273018494406416,8.857980995127573,43.64938233396366
112,5.050626073069968,3.8579809951275723,2.9510903995190536,3.8579809951275723,0.6930740684518844,0.08649152562697364,3.8135868757691185,6.53605290024021,7.857980995127572,8.857980995127573,43.5628458231875
170,4.103093492964104,3.6880559936852597,3.648527629498622,1.5004289905094885,0.6930740684518844,0.08649152562697364,6.857980995127572,5.68805599368526,7.857980995127572,8.857980995127573,42.98167067980431
380,4.103093492964104,3.6880559936852597,1.6780719051126378,4.15754127698648,1.3903754450445747,0.08649152562697364,5.857980995127572,6.857980995127572,6.273018494406416,8.857980995127573,42.950591119209165
397,5.273018494406416,2.554200246950469,8.857980995127573,2.6880559936852597,1.3903754450445747,0.08649152562697364,4.103093492964104,5.53605290024021,5.53605290024021,6.857980995127572,42.88330298941336
13,0.23227215206310664,3.8579809951275723,7.857980995127572,3.8579809951275723,0.6930740684518844,0.08649152562697364,3.6100534816839867,4.770518153877233,8.857980995127573,8.857980995127573,42.682314357341056
146,5.857980995127572,3.6880559936852597,3.648527629498622,4.15754127698648,1.3903754450445747,0.08649152562697364,4.15754127698648,6.53605290024021,5.857980995127572,7.273018494406416,42.65356653273016
377,4.103093492964104,2.554200246950469,4.103093492964104,2.6880559936852597,0.6930740684518844,0.08649152562697364,3.4656635723488116,6.857980995127572,8.857980995127573,8.857980995127573,42.26761537837433
387,0.23227215206310664,4.33441903907056,4.103093492964104,3.3661278987978975,1.3903754450445747,0.08649152562697364,6.857980995127572,5.68805599368526,7.273018494406416,8.857980995127573,42.189816031914035
33,0.23227215206310664,7.273018494406416,4.33441903907056,3.3661278987978975,1.3903754450445747,0.08649152562697364,4.050626073069968,6.53605290024021,6.050626073069968,8.857980995127573,42.17799059651725
154,7.273018494406416,4.465663572348812,2.9510903995190536,1.5004289905094885,1.3903754450445747,0.08649152562697364,4.103093492964104,6.53605290024021,4.610053481683987,8.857980995127573,41.77424929747119
419,6.53605290024021,3.8579809951275723,1.6780719051126378,3.8579809951275723,0.6930740684518844,0.08649152562697364,3.4656635723488116,6.857980995127572,5.857980995127572,8.857980995127573,41.74925894741838
257,4.103093492964104,2.6100534816839867,6.273018494406416,1.5004289905094885,1.3903754450445747,0.08649152562697364,4.050626073069968,5.53605290024021,7.273018494406416,8.857980995127573,41.68113989307972
134,0.23227215206310664,4.33441903907056,3.648527629498622,3.3661278987978975,0.6930740684518844,0.08649152562697364,7.857980995127572,6.53605290024021,6.050626073069968,8.857980995127573,41.66355327707437
343,0.23227215206310664,3.273018494406416,7.857980995127572,1.5004289905094885,0.6930740684518844,4.2141248053528475,6.050626073069968,5.273018494406416,4.610053481683987,7.857980995127572,41.562578550199255
73,0.23227215206310664,2.554200246950469,6.273018494406416,2.6880559936852597,1.3903754450445747,0.08649152562697364,3.6880559936852597,6.857980995127572,8.857980995127573,8.857980995127573,41.48641283684478
290,4.103093492964104,1.857980995127572,2.9510903995190536,1.9631632318196284,1.3903754450445747,0.08649152562697364,5.68805599368526,7.273018494406416,7.273018494406416,8.857980995127573,41.444269067727575
453,6.53605290024021,3.273018494406416,1.6780719051126378,1.5004289905094885,0.6930740684518844,0.08649152562697364,4.050626073069968,6.857980995127572,7.857980995127572,8.857980995127573,41.3917069428003
240,0.23227215206310664,6.53605290024021,1.6780719051126378,6.53605290024021,0.6930740684518844,0.08649152562697364,3.8135868757691185,5.050626073069968,7.857980995127572,8.857980995127573,41.34219039082926
84,5.857980995127572,2.554200246950469,4.103093492964104,2.6880559936852597,1.3903754450445747,0.08649152562697364,3.6880559936852597,6.050626073069968,5.857980995127572,8.857980995127573,41.13484175640933
26,0.23227215206310664,2.554200246950469,6.050626073069968,2.6880559936852597,1.3903754450445747,0.08649152562697364,5.53605290024021,6.857980995127572,6.857980995127572,8.857980995127573,41.11201732206328
297,0.23227215206310664,6.53605290024021,3.5360529002402097,6.53605290024021,1.3903754450445747,0.08649152562697364,3.6880559936852597,5.68805599368526,4.53605290024021,8.857980995127573,41.087443706193596
393,5.050626073069968,3.273018494406416,5.273018494406416,1.5004289905094885,1.3903754450445747,0.08649152562697364,4.15754127698648,5.857980995127572,6.53605290024021,7.857980995127572,40.983515190545674
67,0.23227215206310664,4.465663572348812,8.857980995127573,1.5004289905094885,1.3903754450445747,0.08649152562697364,4.15754127698648,7.273018494406416,5.53605290024021,7.273018494406416,40.77284384676005
138,0.23227215206310664,2.554200246950469,1.6780719051126378,3.3661278987978975,1.3903754450445747,0.08649152562697364,6.857980995127572,6.857980995127572,8.857980995127573,8.857980995127573,40.73946315410595
342,0.23227215206310664,8.857980995127573,4.103093492964104,3.3661278987978975,0.6930740684518844,0.08649152562697364,3.728697978182606,6.53605290024021,5.273018494406416,7.857980995127572,40.734790500988346
82,4.103093492964104,3.8579809951275723,1.6780719051126378,3.8579809951275723,1.3903754450445747,0.08649152562697364,3.5725787762653236,6.050626073069968,7.273018494406416,8.857980995127573,40.72819869787271
448,0.23227215206310664,4.33441903907056,1.6780719051126378,3.3661278987978975,1.3903754450445747,0.08649152562697364,5.857980995127572,5.857980995127572,8.857980995127573,8.857980995127573,40.519681946226044
125,5.050626073069968,2.554200246950469,4.103093492964104,2.6880559936852597,0.6930740684518844,0.08649152562697364,3.0766212816029124,6.050626073069968,7.273018494406416,8.857980995127573,40.43378824495553
21,5.050626073069968,4.33441903907056,3.648527629498622,3.3661278987978975,0.6930740684518844,0.08649152562697364,3.4656635723488116,5.857980995127572,6.050626073069968,7.857980995127572,40.41151787018983
42,0.23227215206310664,8.857980995127573,4.103093492964104,3.3661278987978975,0.6930740684518844,0.08649152562697364,3.8135868757691185,5.68805599368526,4.68805599368526,8.857980995127573,40.386719991298754
183,0.23227215206310664,3.8579809951275723,4.050626073069968,3.8579809951275723,0.6930740684518844,0.08649152562697364,3.8135868757691185,6.050626073069968,8.857980995127573,8.857980995127573,40.358600748561315
80,0.23227215206310664,4.33441903907056,4.050626073069968,3.3661278987978975,1.3903754450445747,0.08649152562697364,4.53605290024021,5.53605290024021,7.857980995127572,8.857980995127573,40.248379924408646
190,0.23227215206310664,1.857980995127572,8.857980995127573,1.9631632318196284,1.3903754450445747,0.08649152562697364,3.5725787762653236,6.050626073069968,7.273018494406416,8.857980995127573,40.14246868367871
321,0.23227215206310664,3.273018494406416,6.050626073069968,1.5004289905094885,0.6930740684518844,0.08649152562697364,3.728697978182606,7.857980995127572,7.857980995127572,8.857980995127573,40.13855226769316
400,6.53605290024021,3.6880559936852597,1.6780719051126378,1.5004289905094885,0.6930740684518844,0.08649152562697364,3.0766212816029124,5.050626073069968,8.857980995127573,8.857980995127573,40.025384728554485
0,0.23227215206310664,3.273018494406416,1.6780719051126378,1.5004289905094885,1.3903754450445747,0.08649152562697364,8.857980995127573,5.273018494406416,8.857980995127573,8.857980995127573,40.00761999255233
370,0.23227215206310664,1.857980995127572,2.9510903995190536,3.3661278987978975,0.6930740684518844,4.2141248053528475,3.8135868757691185,6.050626073069968,7.857980995127572,8.857980995127573,39.89484525840659
220,4.103093492964104,2.6100534816839867,1.6780719051126378,1.5004289905094885,1.3903754450445747,0.08649152562697364,5.857980995127572,7.273018494406416,6.53605290024021,8.857980995127573,39.89354822584353
228,0.23227215206310664,3.6880559936852597,7.857980995127572,4.15754127698648,0.6930740684518844,0.08649152562697364,3.0766212816029124,5.68805599368526,5.53605290024021,8.857980995127573,39.874127182597235
446,0.23227215206310664,4.465663572348812,4.273018494406416,1.5004289905094885,0.6930740684518844,0.08649152562697364,3.8135868757691185,6.857980995127572,8.857980995127573,8.857980995127573,39.63847866455852
52,5.050626073069968,3.8579809951275723,1.6780719051126378,3.8579809951275723,0.6930740684518844,0.08649152562697364,3.5725787762653236,5.857980995127572,6.050626073069968,8.857980995127573,39.56339240210704
20,5.050626073069968,4.33441903907056,1.6780719051126378,3.3661278987978975,1.3903754450445747,0.08649152562697364,4.103093492964104,5.857980995127572,4.770518153877233,8.857980995127573,39.49568552381909
454,0.23227215206310664,2.6100534816839867,4.273018494406416,1.5004289905094885,1.3903754450445747,0.08649152562697364,5.53605290024021,6.050626073069968,8.857980995127573,8.857980995127573,39.39528105289987
392,5.050626073069968,3.273018494406416,4.273018494406416,1.5004289905094885,1.3903754450445747,0.08649152562697364,4.15754127698648,6.050626073069968,4.68805599368526,8.857980995127573,39.32816336193312
122,5.273018494406416,3.273018494406416,1.6780719051126378,1.5004289905094885,1.3903754450445747,4.2141248053528475,3.6100534816839867,6.050626073069968,4.465663572348812,7.857980995127572,39.31336225706272
248,0.23227215206310664,1.857980995127572,3.5360529002402097,3.3661278987978975,1.3903754450445747,0.08649152562697364,5.53605290024021,5.53605290024021,8.857980995127573,8.857980995127573,39.257368707635905
36,5.050626073069968,3.273018494406416,3.5360529002402097,1.5004289905094885,1.3903754450445747,0.08649152562697364,3.6100534816839867,6.53605290024021,5.398549376490275,8.857980995127573,39.239630182439676
325,0.23227215206310664,1.857980995127572,7.273018494406416,1.9631632318196284,0.6930740684518844,0.08649152562697364,7.273018494406416,6.53605290024021,4.465663572348812,8.857980995127573,39.23871642961859
300,0.23227215206310664,2.6100534816839867,4.103093492964104,1.5004289905094885,1.3903754450445747,0.08649152562697364,5.53605290024021,6.050626073069968,8.857980995127573,8.857980995127573,39.22535605145755
351,0.23227215206310664,6.53605290024021,3.648527629498622,1.5004289905094885,0.6930740684518844,0.08649152562697364,3.0766212816029124,5.68805599368526,8.857980995127573,8.857980995127573,39.17748653193361
230,0.23227215206310664,1.857980995127572,7.857980995127572,1.9631632318196284,1.3903754450445747,0.08649152562697364,3.6880559936852597,5.273018494406416,7.857980995127572,8.857980995127573,39.06530082315625
173,0.23227215206310664,1.857980995127572,3.648527629498622,1.9631632318196284,0.6930740684518844,4.2141248053528475,3.4656635723488116,6.857980995127572,7.273018494406416,8.857980995127573,39.06378693932403
27,0.23227215206310664,3.6880559936852597,3.5360529002402097,4.15754127698648,1.3903754450445747,0.08649152562697364,5.857980995127572,5.68805599368526,6.53605290024021,7.857980995127572,39.03086017782722
97,0.23227215206310664,3.8579809951275723,4.050626073069968,3.8579809951275723,0.6930740684518844,0.08649152562697364,3.728697978182606,4.770518153877233,8.857980995127573,8.857980995127573,38.99360393178206
442,0.23227215206310664,2.554200246950469,4.33441903907056,2.6880559936852597,1.3903754450445747,0.08649152562697364,3.6880559936852597,7.273018494406416,7.857980995127572,8.857980995127573,38.96285088078776
105,0.23227215206310664,3.273018494406416,5.273018494406416,1.5004289905094885,1.3903754450445747,0.08649152562697364,5.53605290024021,6.53605290024021,7.273018494406416,7.857980995127572,38.95871039207138
41,0.23227215206310664,1.857980995127572,3.5360529002402097,3.3661278987978975,1.3903754450445747,4.2141248053528475,4.050626073069968,5.857980995127572,5.53605290024021,8.857980995127573,38.89957516019153
273,0.23227215206310664,3.273018494406416,7.273018494406416,1.5004289905094885,1.3903754450445747,0.08649152562697364,5.857980995127572,4.770518153877233,6.53605290024021,7.857980995127572,38.77813814642956
163,5.050626073069968,2.554200246950469,3.648527629498622,2.6880559936852597,1.3903754450445747,0.08649152562697364,4.050626073069968,6.050626073069968,5.398549376490275,7.857980995127572,38.77605943163365
389,0.23227215206310664,1.857980995127572,3.648527629498622,1.9631632318196284,0.6930740684518844,0.08649152562697364,8.857980995127573,5.273018494406416,7.273018494406416,8.857980995127573,38.74350858165576
288,4.103093492964104,3.273018494406416,6.050626073069968,1.5004289905094885,0.6930740684518844,0.08649152562697364,3.4656635723488116,5.273018494406416,5.398549376490275,8.857980995127573,38.70194508340191
391,5.050626073069968,3.6880559936852597,1.6780719051126378,4.15754127698648,1.3903754450445747,0.08649152562697364,3.6880559936852597,6.050626073069968,5.050626073069968,7.857980995127572,38.698451354478664
254,4.103093492964104,4.465663572348812,0.0,1.5004289905094885,1.3903754450445747,0.08649152562697364,3.6880559936852597,5.68805599368526,8.857980995127573,8.857980995127573,38.63812700411962
90,0.23227215206310664,6.53605290024021,4.273018494406416,1.5004289905094885,0.6930740684518844,0.08649152562697364,6.050626073069968,5.857980995127572,4.53605290024021,8.857980995127573,38.6239790948634
434,0.23227215206310664,1.857980995127572,7.857980995127572,1.9631632318196284,1.3903754450445747,0.08649152562697364,3.4656635723488116,6.857980995127572,6.050626073069968,8.857980995127573,38.62051598048335
30,4.103093492964104,1.857980995127572,2.9510903995190536,1.9631632318196284,0.6930740684518844,0.08649152562697364,6.857980995127572,6.53605290024021,4.610053481683987,8.857980995127573,38.51696208568856
62,0.23227215206310664,4.33441903907056,5.273018494406416,3.3661278987978975,0.6930740684518844,0.08649152562697364,4.53605290024021,5.857980995127572,5.273018494406416,8.857980995127573,38.510436563318606
239,0.23227215206310664,1.857980995127572,4.050626073069968,1.9631632318196284,0.6930740684518844,0.08649152562697364,8.857980995127573,4.610053481683987,7.273018494406416,8.857980995127573,38.482642012504684
224,4.103093492964104,3.6880559936852597,1.6780719051126378,4.15754127698648,0.6930740684518844,0.08649152562697364,3.0766212816029124,5.273018494406416,6.857980995127572,8.857980995127573,38.47193002909181
401,0.23227215206310664,3.8579809951275723,1.6780719051126378,3.8579809951275723,1.3903754450445747,0.08649152562697364,4.15754127698648,5.398549376490275,8.857980995127573,8.857980995127573,38.375225661834335
340,0.23227215206310664,1.857980995127572,6.273018494406416,1.9631632318196284,1.3903754450445747,0.08649152562697364,3.5725787762653236,5.273018494406416,8.857980995127573,8.857980995127573,38.36486110501515
227,0.23227215206310664,6.53605290024021,1.6780719051126378,1.5004289905094885,0.6930740684518844,0.08649152562697364,4.951090399519053,6.53605290024021,7.273018494406416,8.857980995127573,38.34453433129755
255,0.23227215206310664,2.554200246950469,3.648527629498622,2.6880559936852597,0.6930740684518844,0.08649152562697364,6.857980995127572,5.857980995127572,6.857980995127572,8.857980995127573,38.334545596786604
386,0.23227215206310664,3.8579809951275723,4.103093492964104,3.8579809951275723,1.3903754450445747,0.08649152562697364,4.050626073069968,4.610053481683987,7.273018494406416,8.857980995127573,38.319873650241846
410,0.23227215206310664,4.33441903907056,4.103093492964104,3.3661278987978975,1.3903754450445747,0.08649152562697364,7.857980995127572,4.610053481683987,4.465663572348812,7.857980995127572,38.30445859785516
292,0.23227215206310664,3.8579809951275723,4.273018494406416,3.8579809951275723,0.6930740684518844,0.08649152562697364,3.6100534816839867,5.53605290024021,7.273018494406416,8.857980995127573,38.27792410226171
127,0.23227215206310664,3.6880559936852597,4.050626073069968,4.15754127698648,0.6930740684518844,0.08649152562697364,3.5725787762653236,6.050626073069968,6.857980995127572,8.857980995127573,38.24722792947411
81,0.23227215206310664,2.554200246950469,4.050626073069968,2.6880559936852597,0.6930740684518844,0.08649152562697364,8.857980995127573,5.53605290024021,4.68805599368526,8.857980995127573,38.24479094402828
159,0.23227215206310664,1.857980995127572,4.103093492964104,1.9631632318196284,1.3903754450445747,0.08649152562697364,5.68805599368526,5.15754127698648,8.857980995127573,8.857980995127573,38.19493610357284
431,0.23227215206310664,3.8579809951275723,2.9510903995190536,3.8579809951275723,1.3903754450445747,0.08649152562697364,4.050626073069968,6.050626073069968,6.857980995127572,8.857980995127573,38.19340564890393
365,0.23227215206310664,3.273018494406416,4.050626073069968,1.5004289905094885,0.6930740684518844,0.08649152562697364,4.951090399519053,5.68805599368526,8.857980995127573,8.857980995127573,38.1910196875873
11,0.23227215206310664,3.8579809951275723,7.273018494406416,3.8579809951275723,1.3903754450445747,0.08649152562697364,3.4656635723488116,5.15754127698648,5.53605290024021,7.273018494406416,38.13039585137814
111,5.273018494406416,1.857980995127572,2.9510903995190536,1.9631632318196284,0.6930740684518844,4.2141248053528475,3.0766212816029124,6.53605290024021,4.68805599368526,6.857980995127572,38.11116316533336
337,0.23227215206310664,1.857980995127572,7.273018494406416,1.9631632318196284,1.3903754450445747,0.08649152562697364,6.857980995127572,5.050626073069968,4.53605290024021,8.857980995127573,38.10594280765359
50,4.103093492964104,3.273018494406416,1.6780719051126378,1.5004289905094885,0.6930740684518844,0.08649152562697364,3.728697978182606,7.857980995127572,7.857980995127572,7.273018494406416,38.05185693991567
137,0.23227215206310664,3.8579809951275723,1.6780719051126378,3.8579809951275723,0.6930740684518844,0.08649152562697364,3.8135868757691185,6.050626073069968,8.857980995127573,8.857980995127573,37.98604658060398
117,0.23227215206310664,2.6100534816839867,6.050626073069968,1.5004289905094885,1.3903754450445747,0.08649152562697364,5.857980995127572,6.53605290024021,4.857980995127572,8.857980995127573,37.98024355362102
35,0.23227215206310664,4.33441903907056,2.9510903995190536,3.3661278987978975,1.3903754450445747,0.08649152562697364,3.5725787762653236,8.857980995127573,5.857980995127572,7.273018494406416,37.92233572104905
166,0.23227215206310664,3.6880559936852597,1.6780719051126378,4.15754127698648,0.6930740684518844,0.08649152562697364,4.951090399519053,5.68805599368526,7.857980995127572,8.857980995127573,37.8906153053858
320,4.103093492964104,2.554200246950469,1.6780719051126378,2.6880559936852597,1.3903754450445747,0.08649152562697364,4.103093492964104,5.53605290024021,6.857980995127572,8.857980995127573,37.85539699284348
198,0.23227215206310664,3.6880559936852597,4.103093492964104,4.15754127698648,1.3903754450445747,0.08649152562697364,4.15754127698648,6.273018494406416,5.857980995127572,7.857980995127572,37.80435164801854
334,0.23227215206310664,3.6880559936852597,1.6780719051126378,4.15754127698648,0.6930740684518844,0.08649152562697364,3.8135868757691185,7.273018494406416,8.857980995127573,7.273018494406416,37.753111781635866
69,0.23227215206310664,1.857980995127572,3.648527629498622,1.9631632318196284,0.6930740684518844,0.08649152562697364,6.857980995127572,7.273018494406416,6.273018494406416,8.857980995127573,37.74350858165576
