,male,Race,parent2_edu,parent1_edu,age_scan,income_median,income_rank,RIG
7,1.6698513983076693,2.321928094887362,6.129283016944966,1.4854268271702418,2.222392421336448,5.129283016944966,5.129283016944966,24.087447792536622
8,1.6698513983076693,2.6698513983076695,3.5443205162238103,3.1292830169449664,3.1292830169449664,3.5443205162238103,3.5443205162238103,21.2312303791767
28,1.6698513983076693,2.6698513983076695,2.959358015502654,2.321928094887362,4.129283016944966,3.5443205162238103,3.5443205162238103,20.83891295639794
49,1.6698513983076693,4.129283016944966,2.1292830169449664,3.1292830169449664,2.222392421336448,3.5443205162238103,3.5443205162238103,20.368733902926635
13,0.5443205162238102,2.321928094887362,2.1292830169449664,2.5443205162238103,2.428843298803874,5.129283016944966,5.129283016944966,20.227261476973755
12,1.6698513983076693,0.8073549220576041,0.0,2.5443205162238103,4.54432051622381,5.129283016944966,5.129283016944966,19.82441338670283
21,1.6698513983076693,6.129283016944966,1.8073549220576042,1.4854268271702418,4.54432051622381,1.8073549220576042,1.8073549220576042,19.250946524819504
24,0.5443205162238102,2.6698513983076695,2.1292830169449664,3.1292830169449664,1.6406430551950084,4.54432051622381,4.54432051622381,19.20202203606404
23,0.5443205162238102,2.6698513983076695,2.1292830169449664,3.1292830169449664,1.6406430551950084,4.54432051622381,4.54432051622381,19.20202203606404
6,1.6698513983076693,2.321928094887362,0.0,2.5443205162238103,2.222392421336448,5.129283016944966,5.129283016944966,19.017058464645224
31,1.6698513983076693,4.129283016944966,2.959358015502654,3.321928094887362,3.1292830169449664,1.8073549220576042,1.8073549220576042,18.82441338670283
15,1.6698513983076693,0.8073549220576041,2.1292830169449664,4.54432051622381,2.486581907513842,3.5443205162238103,3.5443205162238103,18.72603279349551
14,1.6698513983076693,0.8073549220576041,2.1292830169449664,4.54432051622381,2.486581907513842,3.5443205162238103,3.5443205162238103,18.72603279349551
4,0.5443205162238102,2.321928094887362,0.0,3.1292830169449664,2.222392421336448,5.129283016944966,5.129283016944966,18.47649008328252
11,0.5443205162238102,2.321928094887362,3.5443205162238103,2.5443205162238103,2.321928094887362,3.5443205162238103,3.5443205162238103,18.365458770893774
17,1.6698513983076693,2.321928094887362,3.5443205162238103,1.4854268271702418,1.6406430551950084,3.807354922057604,3.807354922057604,18.2768797358993
18,1.6698513983076693,2.321928094887362,3.5443205162238103,1.4854268271702418,1.6406430551950084,3.807354922057604,3.807354922057604,18.2768797358993
52,0.5443205162238102,0.8073549220576041,2.1292830169449664,3.1292830169449664,2.428843298803874,4.54432051622381,4.54432051622381,18.12772580342284
58,0.5443205162238102,2.6698513983076695,2.1292830169449664,2.5443205162238103,2.959358015502654,3.5443205162238103,3.5443205162238103,17.93577449565053
26,0.5443205162238102,2.321928094887362,3.5443205162238103,1.4854268271702418,2.222392421336448,3.5443205162238103,3.5443205162238103,17.20702940828929
60,0.5443205162238102,0.8073549220576041,0.0,2.5443205162238103,2.959358015502654,5.129283016944966,5.129283016944966,17.11392000389781
33,0.5443205162238102,2.6698513983076695,1.8073549220576042,1.4854268271702418,3.1292830169449664,3.5443205162238103,3.5443205162238103,16.724877713151912
1,0.5443205162238102,2.321928094887362,2.1292830169449664,2.5443205162238103,2.959358015502654,0.0,6.129283016944966,16.62849317672757
29,0.5443205162238102,2.6698513983076695,3.1292830169449664,2.321928094887362,4.129283016944966,1.8073549220576042,1.8073549220576042,16.40937588742398
63,1.6698513983076693,0.8073549220576041,3.1292830169449664,2.321928094887362,2.959358015502654,2.6698513983076695,2.6698513983076695,16.227478244315595
68,0.5443205162238102,0.8073549220576041,3.1292830169449664,2.321928094887362,2.321928094887362,3.5443205162238103,3.5443205162238103,16.213455677448724
69,0.5443205162238102,0.8073549220576041,3.1292830169449664,1.4854268271702418,2.428843298803874,3.807354922057604,3.807354922057604,16.009938425315706
61,1.6698513983076693,0.8073549220576041,1.8073549220576042,1.4854268271702418,2.321928094887362,3.807354922057604,3.807354922057604,15.70662600859569
42,0.5443205162238102,0.8073549220576041,3.1292830169449664,3.321928094887362,4.129283016944966,1.8073549220576042,1.8073549220576042,15.546879411173915
3,1.6698513983076693,2.321928094887362,0.0,1.4854268271702418,2.428843298803874,3.807354922057604,3.807354922057604,15.520759463284355
19,0.5443205162238102,0.8073549220576041,2.1292830169449664,2.321928094887362,4.129283016944966,2.6698513983076695,2.6698513983076695,15.271872363674046
47,0.5443205162238102,0.8073549220576041,2.1292830169449664,2.321928094887362,2.321928094887362,3.5443205162238103,3.5443205162238103,15.213455677448724
64,1.6698513983076693,0.8073549220576041,1.8073549220576042,2.5443205162238103,2.428843298803874,2.6698513983076695,2.6698513983076695,14.5974278540659
57,0.5443205162238102,0.8073549220576041,3.1292830169449664,2.321928094887362,2.428843298803874,2.6698513983076695,2.6698513983076695,14.571432645532955
35,0.5443205162238102,0.8073549220576041,2.1292830169449664,2.5443205162238103,3.1292830169449664,2.6698513983076695,2.6698513983076695,14.494264785010495
54,0.5443205162238102,0.8073549220576041,1.8073549220576042,1.8219280948873622,2.222392421336448,3.5443205162238103,3.5443205162238103,14.291991909010449
45,0.5443205162238102,0.8073549220576041,1.8073549220576042,1.8219280948873622,2.222392421336448,3.5443205162238103,3.5443205162238103,14.291991909010449
41,0.5443205162238102,0.8073549220576041,2.1292830169449664,1.4854268271702418,2.222392421336448,3.5443205162238103,3.5443205162238103,14.277418736180689
25,0.5443205162238102,0.8073549220576041,1.8073549220576042,3.321928094887362,4.129283016944966,1.8073549220576042,1.8073549220576042,14.224951316286553
53,0.5443205162238102,2.321928094887362,2.959358015502654,2.321928094887362,2.428843298803874,1.8073549220576042,1.8073549220576042,14.19108786442027
36,0.5443205162238102,2.6698513983076695,0.0,1.4854268271702418,4.129283016944966,2.6698513983076695,2.6698513983076695,14.168584555262026
32,0.5443205162238102,0.8073549220576041,1.8073549220576042,1.4854268271702418,4.129283016944966,2.6698513983076695,2.6698513983076695,14.113443001069566
38,0.5443205162238102,0.8073549220576041,1.8073549220576042,1.4854268271702418,2.321928094887362,3.5443205162238103,3.5443205162238103,14.055026314844241
20,1.6698513983076693,0.8073549220576041,2.959358015502654,3.321928094887362,1.3256178600701611,1.8073549220576042,1.8073549220576042,13.698820134940657
9,0.5443205162238102,4.129283016944966,0.0,2.321928094887362,1.2721602581119051,2.6698513983076695,2.6698513983076695,13.607394682783381
10,0.5443205162238102,4.129283016944966,0.0,2.321928094887362,1.2721602581119051,2.6698513983076695,2.6698513983076695,13.607394682783381
0,1.6698513983076693,2.6698513983076695,1.8073549220576042,1.4854268271702418,2.321928094887362,1.8073549220576042,1.8073549220576042,13.569122484845755
67,0.5443205162238102,0.8073549220576041,2.1292830169449664,1.4854268271702418,2.959358015502654,2.6698513983076695,2.6698513983076695,13.265446094514616
39,1.6698513983076693,0.8073549220576041,2.959358015502654,1.9331243055555862,2.222392421336448,1.8073549220576042,1.8073549220576042,13.20679090687517
65,0.5443205162238102,0.8073549220576041,1.8073549220576042,1.4854268271702418,1.4392706621383766,3.5443205162238103,3.5443205162238103,13.172368882095256
59,0.5443205162238102,0.8073549220576041,1.8073549220576042,1.4854268271702418,1.4392706621383766,3.5443205162238103,3.5443205162238103,13.172368882095256
55,0.5443205162238102,0.8073549220576041,1.8073549220576042,1.4854268271702418,1.4392706621383766,3.5443205162238103,3.5443205162238103,13.172368882095256
56,0.5443205162238102,2.321928094887362,2.1292830169449664,0.0,2.428843298803874,2.6698513983076695,2.6698513983076695,12.764077723475351
50,0.5443205162238102,0.8073549220576041,3.1292830169449664,2.321928094887362,2.321928094887362,1.8073549220576042,1.8073549220576042,12.739524489116311
62,0.5443205162238102,0.8073549220576041,3.1292830169449664,2.321928094887362,2.321928094887362,1.8073549220576042,1.8073549220576042,12.739524489116311
30,0.5443205162238102,0.8073549220576041,2.959358015502654,1.4854268271702418,3.1292830169449664,1.8073549220576042,1.8073549220576042,12.540453142014485
40,0.5443205162238102,0.8073549220576041,2.959358015502654,2.321928094887362,2.222392421336448,1.8073549220576042,1.8073549220576042,12.470063814123085
43,0.5443205162238102,0.8073549220576041,1.8073549220576042,2.5443205162238103,3.1292830169449664,1.8073549220576042,1.8073549220576042,12.447343737623003
51,1.6698513983076693,0.8073549220576041,2.959358015502654,1.9331243055555862,1.3256178600701611,1.8073549220576042,1.8073549220576042,12.310016345608883
5,0.5443205162238102,2.6698513983076695,2.959358015502654,3.321928094887362,2.428843298803874,0.0,0.0,11.92430132372537
66,1.6698513983076693,0.8073549220576041,1.8073549220576042,1.4854268271702418,2.428843298803874,1.8073549220576042,1.8073549220576042,11.8135412125122
27,0.5443205162238102,2.321928094887362,3.5443205162238103,3.1292830169449664,2.222392421336448,0.0,0.0,11.762244565616395
16,0.5443205162238102,0.7386031601826367,1.8073549220576042,1.4854268271702418,2.959358015502654,1.8073549220576042,1.8073549220576042,11.149773285252156
2,1.6698513983076693,2.321928094887362,2.1292830169449664,2.5443205162238103,2.222392421336448,0.0,0.0,10.887775447700257
48,0.5443205162238102,0.8073549220576041,1.8073549220576042,1.4854268271702418,1.5187153172068666,1.8073549220576042,1.8073549220576042,9.777882348831335
37,0.5443205162238102,0.8073549220576041,1.8073549220576042,1.4854268271702418,1.5187153172068666,1.8073549220576042,1.8073549220576042,9.777882348831335
22,0.5443205162238102,0.7386031601826367,1.8073549220576042,1.4854268271702418,1.5187153172068666,1.8073549220576042,1.8073549220576042,9.709130586956368
46,0.5443205162238102,0.8073549220576041,1.8073549220576042,3.1292830169449664,2.321928094887362,0.0,0.0,8.610241472171348
44,0.5443205162238102,0.8073549220576041,0.0,2.014873671697026,3.1292830169449664,0.0,0.0,6.495832126923407
34,0.5443205162238102,0.8073549220576041,0.0,2.014873671697026,3.1292830169449664,0.0,0.0,6.495832126923407
