highest_education,income,race,ethnicity,sex,dis-score,score
2.0,0,4,0,0,0.0,0.0
1.0,0,2,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
5.0,0,2,0,1,0.8637,12.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
2.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
3.0,0,2,0,1,0.4467,2.0
1.0,0,3,0,1,0.0,0.0
1.0,0,5,0,0,0.4467,2.0
3.0,0,4,1,1,0.4467,2.0
2.0,0,1,0,1,0.6418,4.0
1.0,0,4,1,0,0.0,0.0
,3,1,0,0,0.0,0.0
,3,1,0,0,0.0,0.0
2.0,2,1,0,0,0.799,8.0
3.0,0,1,0,0,0.799,8.0
1.0,0,4,1,1,0.0,0.0
3.0,0,2,0,0,0.4467,2.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
,3,4,1,0,0.0,0.0
,3,4,1,1,0.0,0.0
1.0,0,0,1,0,0.4467,2.0
1.0,0,0,1,1,0.4467,2.0
,3,3,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
,3,4,0,1,0.0,0.0
,3,3,0,1,0.0,0.0
,3,3,0,0,0.0,0.0
2.0,2,3,0,0,0.0,0.0
2.0,2,3,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,3,1,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
3.0,1,3,1,0,0.7407,6.0
1.0,0,0,0,0,0.4467,2.0
2.0,0,4,0,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,3,1,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
,3,3,0,0,0.0,0.0
1.0,0,3,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
2.0,0,4,0,0,0.0,0.0
1.0,0,4,1,0,0.0,0.0
1.0,0,2,0,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
2.0,0,5,2,0,0.5628,3.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
6.0,0,4,0,1,0.9336,24.0
2.0,0,4,0,0,0.0,0.0
1.0,0,2,0,1,0.0,0.0
7.0,0,5,2,1,0.8742,13.0
,3,3,1,0,0.4467,2.0
1.0,0,4,0,0,0.0,0.0
1.0,0,3,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
,3,4,0,1,0.0,0.0
1.0,0,4,1,0,0.0,0.0
1.0,0,1,0,1,0.0,0.0
1.0,0,2,0,0,0.0,0.0
,3,4,0,0,0.0,0.0
1.0,0,3,0,1,0.0,0.0
3.0,0,4,0,1,0.0,0.0
3.0,0,4,0,0,0.0,0.0
2.0,0,2,0,0,0.0,0.0
,3,4,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
3.0,0,4,0,1,0.0,0.0
1.0,0,2,0,1,0.0,0.0
,3,4,0,0,0.0,0.0
1.0,0,3,0,0,0.0,0.0
,3,4,0,1,0.0,0.0
1.0,0,3,0,1,0.0,0.0
,3,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
,3,4,0,1,0.0,0.0
,3,1,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,1,5,1,0,0.8833,14.0
2.0,0,4,0,0,0.0,0.0
,3,4,0,1,0.0,0.0
,3,4,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
,3,4,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
,3,5,2,0,0.0,0.0
2.0,0,4,0,1,0.0,0.0
1.0,3,4,0,0,0.4467,2.0
3.0,0,4,0,0,0.0,0.0
2.0,0,4,0,1,0.0,0.0
1.0,1,2,0,1,0.7407,6.0
2.0,3,5,2,0,0.7407,6.0
2.0,0,2,0,1,0.4467,2.0
1.0,0,4,0,0,0.0,0.0
2.0,0,4,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
,3,5,2,1,0.6418,4.0
0.0,3,4,1,0,0.9336,24.0
2.0,0,4,0,0,0.0,0.0
,3,4,0,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,1,1,0.0,0.0
2.0,0,3,1,0,0.4467,2.0
,3,4,1,1,0.0,0.0
1.0,1,4,0,1,0.0,0.0
1.0,3,4,0,1,0.4467,2.0
1.0,0,5,0,1,0.5628,3.0
7.0,0,4,0,1,0.8637,12.0
1.0,0,4,0,0,0.0,0.0
2.0,0,3,2,1,0.799,8.0
2.0,0,4,0,0,0.0,0.0
2.0,0,4,0,0,0.0,0.0
1.0,0,3,1,0,0.2668,1.0
5.0,0,4,0,0,0.8637,12.0
1.0,0,3,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
,3,4,0,1,0.0,0.0
,3,4,0,1,0.0,0.0
4.0,2,5,1,1,0.9479,30.0
1.0,0,4,0,0,0.0,0.0
1.0,1,4,0,1,0.0,0.0
1.0,0,1,0,1,0.0,0.0
1.0,0,4,1,0,0.0,0.0
,3,4,0,0,0.0,0.0
3.0,2,5,0,1,0.8833,14.0
,3,2,0,1,0.4467,2.0
1.0,0,2,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
,3,4,0,0,0.0,0.0
3.0,1,3,2,0,0.8833,14.0
1.0,0,4,0,1,0.0,0.0
,3,2,0,0,0.4467,2.0
1.0,0,2,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
3.0,3,4,1,0,0.7407,6.0
1.0,0,4,1,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
,3,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
3.0,0,4,1,0,0.2668,1.0
2.0,0,4,1,0,0.4467,2.0
1.0,0,4,0,0,0.0,0.0
3.0,0,3,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
2.0,0,5,1,1,0.799,8.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,2,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
,3,4,0,0,0.0,0.0
1.0,0,5,2,0,0.7407,6.0
,3,4,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
2.0,0,4,0,1,0.0,0.0
2.0,0,3,0,0,0.2668,1.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,2,0,0,0.0,0.0
1.0,0,2,0,0,0.0,0.0
,3,4,0,0,0.0,0.0
,3,4,0,1,0.0,0.0
2.0,0,3,0,1,0.0,0.0
2.0,0,3,0,1,0.0,0.0
2.0,0,2,0,0,0.0,0.0
1.0,0,2,1,1,0.4467,2.0
,3,4,0,0,0.0,0.0
3.0,0,3,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,3,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
2.0,0,3,0,1,0.0,0.0
,3,3,0,1,0.0,0.0
2.0,0,4,0,1,0.0,0.0
1.0,0,4,1,0,0.0,0.0
1.0,0,3,0,0,0.0,0.0
1.0,0,2,0,0,0.0,0.0
1.0,0,4,0,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
2.0,0,4,0,1,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,0,2,1,0,0.4467,2.0
,3,4,0,1,0.0,0.0
1.0,0,4,0,1,0.0,0.0
,3,3,0,1,0.0,0.0
1.0,0,0,0,1,0.4467,2.0
,3,3,0,0,0.0,0.0
,3,4,0,1,0.0,0.0
3.0,0,4,0,0,0.0,0.0
,3,4,0,0,0.0,0.0
1.0,0,3,0,0,0.0,0.0
1.0,0,4,0,0,0.0,0.0
1.0,2,2,0,1,0.8637,12.0
1.0,0,3,0,0,0.0,0.0
